price,time
"$58,657.56",Sat Nov 20 20:00:49 2021
"$58,437.70",Sat Nov 20 20:10:50 2021
"$58,394.65",Sat Nov 20 20:34:14 2021
"$57,892.04",Sat Nov 20 20:44:16 2021
"$57,929.98",Sat Nov 20 20:54:17 2021
"$57,951.72",Sat Nov 20 21:04:20 2021
"$57,815.55",Sat Nov 20 21:14:20 2021
"$57,659.59",Sat Nov 20 21:24:23 2021
"$57,684.20",Sat Nov 20 21:34:24 2021
"$57,626.00",Sat Nov 20 21:44:25 2021
"$57,469.73",Sat Nov 20 21:54:27 2021
"$57,753.57",Sat Nov 20 22:04:29 2021
"$57,804.84",Sat Nov 20 22:15:46 2021
"$57,817.83",Sat Nov 20 22:25:48 2021
"$57,825.26",Sat Nov 20 22:35:49 2021
"$57,701.37",Sat Nov 20 22:45:53 2021
"$57,778.47",Sat Nov 20 22:55:54 2021
"$57,733.89",Sat Nov 20 23:05:55 2021
"$58,994.07",Sun Nov 21 09:12:29 2021
"$58,817.11",Sun Nov 21 09:22:30 2021
"$58,693.66",Sun Nov 21 09:32:31 2021
"$58,771.84",Sun Nov 21 09:42:32 2021
"$58,893.48",Sun Nov 21 09:52:33 2021
"$58,926.71",Sun Nov 21 10:02:34 2021
"$58,811.19",Sun Nov 21 10:12:35 2021
"$58,736.79",Sun Nov 21 10:22:36 2021
"$58,643.47",Sun Nov 21 10:32:37 2021
"$58,719.81",Sun Nov 21 10:42:38 2021
"$58,722.33",Sun Nov 21 10:52:39 2021
"$58,741.29",Sun Nov 21 11:02:39 2021
"$58,867.62",Sun Nov 21 11:13:26 2021
"$58,933.08",Sun Nov 21 11:23:27 2021
"$59,001.03",Sun Nov 21 11:33:28 2021
"$58,963.06",Sun Nov 21 11:43:29 2021
"$59,029.23",Sun Nov 21 12:45:42 2021
"$59,111.89",Sun Nov 21 12:55:43 2021
"$59,159.03",Sun Nov 21 13:05:44 2021
"$58,746.02",Sun Nov 21 17:23:19 2021
"$59,243.77",Sun Nov 21 17:54:17 2021
"$59,268.54",Sun Nov 21 18:04:19 2021
"$59,008.51",Sun Nov 21 18:14:20 2021
"$59,190.49",Sun Nov 21 18:25:32 2021
"$59,163.88",Sun Nov 21 18:38:06 2021
"$59,043.20",Sun Nov 21 19:11:34 2021
"$58,901.91",Sun Nov 21 19:21:35 2021
"$59,023.68",Sun Nov 21 19:31:36 2021
"$58,839.03",Sun Nov 21 19:41:37 2021
"$58,936.24",Sun Nov 21 19:51:38 2021
"$58,821.51",Sun Nov 21 20:01:38 2021
"$58,914.10",Sun Nov 21 20:11:40 2021
"$58,886.02",Sun Nov 21 20:40:00 2021
"$58,962.67",Sun Nov 21 20:50:01 2021
"$58,975.07",Sun Nov 21 21:00:02 2021
"$59,120.45",Sun Nov 21 21:10:02 2021
"$59,074.64",Sun Nov 21 21:20:03 2021
"$59,223.37",Sun Nov 21 21:30:04 2021
"$59,415.52",Sun Nov 21 21:40:29 2021
"$59,353.77",Sun Nov 21 21:51:05 2021
"$59,218.06",Sun Nov 21 22:01:15 2021
"$59,263.82",Sun Nov 21 22:20:29 2021
"$59,499.42",Sun Nov 21 22:30:30 2021
"$59,849.17",Sun Nov 21 22:40:43 2021
"$59,720.73",Sun Nov 21 22:50:44 2021
"$59,846.13",Sun Nov 21 23:00:47 2021
"$59,684.46",Sun Nov 21 23:10:50 2021
"$57,673.39",Mon Nov 22 09:01:34 2021
"$57,602.57",Mon Nov 22 09:12:06 2021
"$57,493.43",Mon Nov 22 09:22:07 2021
"$57,373.21",Mon Nov 22 09:32:08 2021
"$57,333.03",Mon Nov 22 09:42:09 2021
"$57,438.64",Mon Nov 22 09:53:20 2021
"$57,447.53",Mon Nov 22 10:03:21 2021
"$57,395.54",Mon Nov 22 10:13:23 2021
"$57,256.85",Mon Nov 22 10:23:24 2021
"$57,119.33",Mon Nov 22 10:33:25 2021
"$57,000.99",Mon Nov 22 10:43:26 2021
"$57,061.38",Mon Nov 22 10:53:26 2021
"$57,206.45",Mon Nov 22 11:03:27 2021
"$57,361.52",Mon Nov 22 11:13:28 2021
"$57,424.04",Mon Nov 22 11:23:28 2021
"$57,420.85",Mon Nov 22 11:33:30 2021
"$57,406.41",Mon Nov 22 11:43:30 2021
"$57,366.97",Mon Nov 22 11:53:31 2021
"$57,310.96",Mon Nov 22 12:03:32 2021
"$57,313.50",Mon Nov 22 12:13:32 2021
"$57,185.10",Mon Nov 22 12:23:33 2021
"$57,337.71",Mon Nov 22 12:33:34 2021
"$57,645.03",Mon Nov 22 12:43:35 2021
"$57,502.56",Mon Nov 22 12:53:35 2021
"$57,547.52",Mon Nov 22 13:03:36 2021
"$57,437.90",Mon Nov 22 17:19:32 2021
"$57,213.32",Mon Nov 22 17:34:08 2021
"$57,226.14",Mon Nov 22 17:54:27 2021
"$57,656.49",Mon Nov 22 18:04:28 2021
"$57,401.87",Mon Nov 22 18:14:29 2021
"$57,273.69",Mon Nov 22 18:24:29 2021
"$57,210.82",Mon Nov 22 18:35:47 2021
"$57,084.60",Mon Nov 22 18:45:48 2021
"$56,926.80",Mon Nov 22 19:02:51 2021
"$58,947.05",Mon Nov 22 19:16:58 2021
"$58,860.92",Mon Nov 22 19:33:59 2021
"$58,826.18",Mon Nov 22 19:43:59 2021
"$58,593.72",Mon Nov 22 19:54:00 2021
"$58,178.06",Mon Nov 22 21:11:03 2021
"$58,203.48",Mon Nov 22 21:21:04 2021
"$58,196.78",Mon Nov 22 21:31:04 2021
"$57,970.24",Mon Nov 22 21:41:06 2021
"$58,012.42",Mon Nov 22 21:51:07 2021
"$58,074.90",Mon Nov 22 22:01:08 2021
"$57,614.54",Mon Nov 22 22:39:10 2021
"$57,609.93",Mon Nov 22 22:49:17 2021
"$57,548.19",Mon Nov 22 23:05:18 2021
"$57,443.29",Mon Nov 22 23:15:19 2021
"$57,418.96",Mon Nov 22 23:25:20 2021
"$57,404.70",Mon Nov 22 23:35:21 2021
"$57,263.74",Mon Nov 22 23:45:22 2021
"$56,806.86",Tue Nov 23 07:53:52 2021
"$56,956.98",Tue Nov 23 08:04:09 2021
"$56,807.33",Tue Nov 23 08:21:39 2021
"$56,806.18",Tue Nov 23 08:31:40 2021
"$57,085.68",Tue Nov 23 08:41:41 2021
"$57,281.66",Tue Nov 23 08:51:41 2021
"$57,089.70",Tue Nov 23 09:01:42 2021
"$57,033.22",Tue Nov 23 09:11:43 2021
"$56,998.51",Tue Nov 23 09:21:43 2021
"$56,879.49",Tue Nov 23 09:31:44 2021
"$56,943.39",Tue Nov 23 09:41:45 2021
"$56,889.60",Tue Nov 23 09:51:46 2021
"$57,092.68",Tue Nov 23 10:01:47 2021
"$57,056.74",Tue Nov 23 10:11:48 2021
"$57,016.86",Tue Nov 23 10:21:49 2021
"$56,957.12",Tue Nov 23 10:31:50 2021
"$56,835.95",Tue Nov 23 10:41:51 2021
"$56,760.94",Tue Nov 23 10:51:52 2021
"$57,426.86",Tue Nov 23 15:56:43 2021
"$57,297.45",Tue Nov 23 16:06:44 2021
"$57,198.25",Tue Nov 23 16:16:45 2021
"$57,049.98",Tue Nov 23 16:26:46 2021
"$56,411.98",Tue Nov 23 16:36:47 2021
"$56,482.14",Tue Nov 23 16:46:48 2021
"$56,350.68",Tue Nov 23 16:56:48 2021
"$56,315.39",Tue Nov 23 17:06:49 2021
"$56,173.34",Tue Nov 23 17:16:49 2021
"$56,039.00",Tue Nov 23 17:26:50 2021
"$56,231.27",Tue Nov 23 17:36:51 2021
"$56,325.69",Tue Nov 23 17:46:51 2021
"$56,214.23",Tue Nov 23 18:11:39 2021
"$56,289.73",Tue Nov 23 18:21:40 2021
"$56,295.03",Tue Nov 23 18:31:41 2021
"$56,791.89",Tue Nov 23 18:41:42 2021
"$56,650.38",Tue Nov 23 18:51:43 2021
"$56,816.29",Tue Nov 23 19:01:44 2021
"$56,744.56",Tue Nov 23 19:26:35 2021
"$56,749.42",Tue Nov 23 19:36:36 2021
"$56,435.77",Wed Nov 24 08:24:13 2021
"$56,280.43",Wed Nov 24 08:34:14 2021
"$56,361.85",Wed Nov 24 08:44:16 2021
"$56,295.45",Wed Nov 24 08:54:17 2021
"$56,359.47",Wed Nov 24 09:04:17 2021
"$56,346.69",Wed Nov 24 09:14:18 2021
"$56,377.33",Wed Nov 24 09:24:19 2021
"$56,377.33",Wed Nov 24 09:47:51 2021
"$58,044.12",Tue Nov 30 01:55:53 2021
"$58,060.36",Tue Nov 30 02:05:50 2021
"$58,029.88",Tue Nov 30 02:15:51 2021
"$58,162.12",Tue Nov 30 02:25:51 2021
"$58,118.98",Tue Nov 30 02:35:52 2021
"$58,245.80",Tue Nov 30 02:45:53 2021
"$58,331.18",Tue Nov 30 02:55:53 2021
"$57,267.17",Tue Nov 30 10:38:38 2021
"$57,212.92",Tue Nov 30 10:48:39 2021
"$57,044.22",Tue Nov 30 10:58:40 2021
"$56,898.94",Tue Nov 30 11:08:41 2021
"$56,723.81",Tue Nov 30 11:18:42 2021
"$56,677.28",Tue Nov 30 11:28:43 2021
"$56,228.45",Tue Nov 30 11:38:44 2021
"$56,206.81",Tue Nov 30 11:48:45 2021
"$56,256.11",Tue Nov 30 11:58:46 2021
"$56,343.30",Tue Nov 30 12:08:48 2021
"$56,419.03",Tue Nov 30 12:18:49 2021
"$56,477.50",Tue Nov 30 12:28:49 2021
"$56,655.41",Tue Nov 30 12:38:50 2021
"$57,822.35",Tue Nov 30 21:35:51 2021
"$57,329.34",Tue Nov 30 21:45:52 2021
"$57,211.10",Tue Nov 30 21:55:53 2021
"$57,341.56",Tue Nov 30 22:06:02 2021
"$57,536.61",Tue Nov 30 22:16:04 2021
"$57,421.83",Tue Nov 30 23:44:32 2021
"$57,232.38",Wed Dec  1 13:10:32 2021
"$57,221.54",Wed Dec  1 13:20:32 2021
"$57,114.05",Wed Dec  1 13:30:33 2021
"$57,073.88",Wed Dec  1 13:40:34 2021
"$57,798.19",Wed Dec  1 14:07:55 2021
"$57,337.78",Wed Dec  1 14:17:59 2021
"$57,053.05",Wed Dec  1 14:28:01 2021
"$56,864.82",Wed Dec  1 14:38:03 2021
"$57,019.66",Wed Dec  1 14:49:16 2021
"$58,669.03",Wed Dec  1 21:35:04 2021
"$58,970.56",Wed Dec  1 21:45:05 2021
"$58,917.82",Wed Dec  1 21:55:06 2021
"$58,785.91",Wed Dec  1 22:05:06 2021
"$58,724.34",Wed Dec  1 22:15:07 2021
"$58,645.23",Wed Dec  1 22:25:08 2021
"$58,534.49",Wed Dec  1 22:35:09 2021
"$58,577.50",Wed Dec  1 22:45:10 2021
"$58,637.00",Wed Dec  1 22:55:11 2021
"$58,513.62",Wed Dec  1 23:05:13 2021
"$58,100.85",Wed Dec  1 23:37:05 2021
"$56,679.77",Thu Dec  2 12:14:41 2021
"$56,606.11",Thu Dec  2 12:24:42 2021
"$56,549.93",Thu Dec  2 12:34:43 2021
"$57,023.70",Thu Dec  2 14:26:33 2021
"$57,005.98",Thu Dec  2 14:36:32 2021
"$57,042.53",Thu Dec  2 14:46:33 2021
"$57,022.40",Thu Dec  2 15:02:14 2021
"$56,757.43",Thu Dec  2 15:12:15 2021
"$56,827.53",Thu Dec  2 15:22:16 2021
